Top pages,Clicks,Impressions,CTR,Position
https://www.bastelschachtel.at/products/bastelset-aus-peddigrohr-tablett-3223,13,732,1.78%,8.48
https://www.bastelschachtel.at/collections/reispapier-a4-ostern-659,13,528,2.46%,8.54
https://www.bastelschachtel.at/products/pinsel-fur-effekte-mit-textil-6941,13,523,2.49%,8.15
https://www.bastelschachtel.at/products/heavy-body-gel-100ml-glnzend-7108,13,418,3.11%,9.19
https://www.bastelschachtel.at/products/teelichtdocht-gewachst-10x-50mm,13,347,3.75%,8.67
https://www.bastelschachtel.at/products/acryl-medaillon-9cm-5-stuck,13,212,6.13%,8.92
https://www.bastelschachtel.at/products/handgemachte-glucksbringer-kleeblatt-dekorationsstuck,12,11032,0.11%,9.24
https://www.bastelschachtel.at/products/metall-dekoelement-ornament-48cm-5642,12,3967,0.3%,8.56
https://www.bastelschachtel.at/products/uhu-stick-gross-1,12,3949,0.3%,8.75
https://www.bastelschachtel.at/products/spiegelfarbe-auf-plastik-in-set-4960,12,1190,1.01%,8.3
https://www.bastelschachtel.at/products/korb-mit-holzperlen-305,12,949,1.26%,8.6
https://www.bastelschachtel.at/products/silikonform-hausreihe,12,867,1.38%,6.65
https://www.bastelschachtel.at/products/acryl-glocke-mit-trennwand-10cm,12,771,1.56%,6.22
https://www.bastelschachtel.at/products/samtpulver-30ml-schwarz-6545,12,471,2.55%,4.22
https://www.bastelschachtel.at/products/konturenfarben-universell-wei-6337,12,241,4.98%,6.93
https://www.bastelschachtel.at/products/giesspulver-raysin-100?variant=51966887395666&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,12,39,30.77%,3.21
https://www.bastelschachtel.at/products/pentart-perlenpaste-50ml?variant=41035274780829&country=PL&currency=PLN&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,12,20,60%,1.95
https://www.bastelschachtel.at/products/holzring-loop-20cm-oder-25cm?variant=51787504845138&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,12,18,66.67%,3.56
https://www.bastelschachtel.at/products/pentart-wachspaste-metallic-20ml-silber-3805?variant=39735994613917&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,12,17,70.59%,3.82
https://www.bastelschachtel.at/products/schilf-2mm-50dkg-512,11,2766,0.4%,11.32
https://www.bastelschachtel.at/products/holzbaum,11,2616,0.42%,7.32
https://www.bastelschachtel.at/products/giesspulver-raysin-100,11,2167,0.51%,9.94
https://www.bastelschachtel.at/products/foam-clay®,11,1517,0.73%,9.7
https://www.bastelschachtel.at/products/embossing-stift-set,11,1012,1.09%,11.9
https://www.bastelschachtel.at/products/pappschachtel-buch-mit-klappdeckel-18c14x5cm,11,937,1.17%,10.89
https://www.bastelschachtel.at/products/holzkranz-flach-15cm-3er-set,11,810,1.36%,6.42
https://www.bastelschachtel.at/products/pentart-wachspaste-metallic-20ml-turkis-4382,11,597,1.84%,6.62
https://www.bastelschachtel.at/products/silikonform-ornaments-filigran,11,571,1.93%,6.86
https://www.bastelschachtel.at/products/glasfarbe-30ml-olivegrun-7061,11,323,3.41%,6.08
https://www.bastelschachtel.at/products/dekorlack-soft-touch-100ml-6669,11,307,3.58%,8.63
https://www.bastelschachtel.at/products/gelpaste-100ml-transparent-4024,11,223,4.93%,6.58
https://www.bastelschachtel.at/products/vorratsglaser,11,135,8.15%,6.36
https://www.bastelschachtel.at/collections/leuchtfarbe-glow-in-the-dark-361,10,5112,0.2%,10.09
https://www.bastelschachtel.at/collections,10,2146,0.47%,4.19
https://www.bastelschachtel.at/products/styropor-eier-10cm-5-stuck-6660,10,1868,0.54%,6.66
https://www.bastelschachtel.at/products/schablonierpaste-50ml-malve-3810,10,1701,0.59%,7.81
https://www.bastelschachtel.at/collections/mosaik-229,10,1262,0.79%,12.79
https://www.bastelschachtel.at/products/acryl-kugel-8cm-1676,10,1083,0.92%,9.95
https://www.bastelschachtel.at/products/silk-clay,10,465,2.15%,7.88
https://www.bastelschachtel.at/products/bastelset-aus-peddigrohr-herzkorb,10,372,2.69%,6.6
https://www.bastelschachtel.at/pages/garantie,10,368,2.72%,5.24
https://www.bastelschachtel.at/products/magnetfarbe-100ml-schwarz-4162,10,231,4.33%,8.41
https://www.bastelschachtel.at/products/bastelset-vogelhaus,9,1555,0.58%,11.03
https://www.bastelschachtel.at/products/filzkrone-zum-geburtstag-mit-wechselbaren-zahlen,9,1383,0.65%,8.38
https://www.bastelschachtel.at/products/bastelfilz-21x30cm-599,9,1360,0.66%,10.15
https://www.bastelschachtel.at/products/schablone-portrait-3968,9,679,1.33%,9.91
https://www.bastelschachtel.at/products/beton-engel,9,661,1.36%,7.77
https://www.bastelschachtel.at/products/siebdruckschablone-21-5x27-5-cm-tannenbaum,9,537,1.68%,6.96
https://www.bastelschachtel.at/products/brotkorb-293,9,518,1.74%,7.36
https://www.bastelschachtel.at/products/holzring-loop-20cm-oder-25cm,9,389,2.31%,8.67
https://www.bastelschachtel.at/products/silikonform-rauchfangkehrer,9,327,2.75%,6.76
https://www.bastelschachtel.at/products/silikonform-hunde-6er-set,9,309,2.91%,7.72
https://www.bastelschachtel.at/products/pentart-wachspaste-metallic-20ml-blau-4381,9,161,5.59%,6.2
https://www.bastelschachtel.at/products/kids-wood-coat-hanger?variant=51953000710482&country=CH&currency=CHF&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,9,15,60%,6.6
https://www.bastelschachtel.at/products/mosaik-und-steinkleber-100ml-8032,8,2399,0.33%,17.5
https://www.bastelschachtel.at/products/holz-schlusselkasten-gro-698,8,2333,0.34%,10.1
https://www.bastelschachtel.at/collections/acryl-farben,8,1562,0.51%,12.51
https://www.bastelschachtel.at/products/pentart-acrylfarbe-im-set-glow-in-the-dark-nachtleuchtend-8x30ml-3231,8,1056,0.76%,9.6
https://www.bastelschachtel.at/products/acrylfarbe-metallic-50ml-antik-gold-4889,8,925,0.86%,13.52
https://www.bastelschachtel.at/products/3d-decor-pen-30ml-citringelb-6045,8,811,0.99%,6.25
https://www.bastelschachtel.at/products/einkomponenten-reisslack-auf-wasserbasis-702,8,550,1.45%,9.04
https://www.bastelschachtel.at/products/schablone-20x25cm-art-5932,8,540,1.48%,6.54
https://www.bastelschachtel.at/products/selbsthaftender-kleber-in-stiftform-tacky-glue-15ml-7065,8,421,1.9%,6.81
https://www.bastelschachtel.at/products/modelliermasse-jovi-500g-wei-5956,8,405,1.98%,6.05
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-tannengrun-5730,8,367,2.18%,7.93
https://www.bastelschachtel.at/products/dekorbeton,8,349,2.29%,9.77
https://www.bastelschachtel.at/products/silikonform-fur-resin-medallions-und-ohrringe,8,325,2.46%,7.06
https://www.bastelschachtel.at/products/plusterpaste-50ml-5288,8,282,2.84%,5.93
https://www.bastelschachtel.at/products/taj-mahal-3d-holzpuzzle,8,261,3.07%,8.34
https://www.bastelschachtel.at/blogs/uebersicht/rosteffekt-wie-gehtss-richtig-63,8,257,3.11%,9.56
https://www.bastelschachtel.at/products/pentart-antik-effekt-gel-150ml-braun,8,194,4.12%,6.21
https://www.bastelschachtel.at/products/farbset-fur-rosteffekt-4896,8,160,5%,7.31
https://www.bastelschachtel.at/products/pentart-3d-decor-pen-30ml-wei-5435,7,1649,0.42%,9.27
https://www.bastelschachtel.at/products/klebeschablonen-im-set-a6-fruhling,7,893,0.78%,9.08
https://www.bastelschachtel.at/products/textil-medium-100ml,7,734,0.95%,7.79
https://www.bastelschachtel.at/products/pentart-alkoholspray-36ml,7,674,1.04%,6.17
https://www.bastelschachtel.at/products/glasatzpaste-im-set-mit-schablonen-und-verdunner-all-in-one,7,616,1.14%,9.02
https://www.bastelschachtel.at/products/antikfarbe-50ml-patina-blau-5118,7,574,1.22%,5.74
https://www.bastelschachtel.at/products/aufhnger-fur-styropor-24-stuck-2239,7,574,1.22%,8.64
https://www.bastelschachtel.at/products/leinenband-6cm-x-3m,7,540,1.3%,10.53
https://www.bastelschachtel.at/products/pentart-tafelfarbe-auf-glas-100ml-schwarz,7,487,1.44%,10
https://www.bastelschachtel.at/products/pentart-frosteffekt-farbe-20ml-gold-8013,7,445,1.57%,6.05
https://www.bastelschachtel.at/products/perlonfaden-klar-0-25mm-25m,7,414,1.69%,7.26
https://www.bastelschachtel.at/products/silikonform-schwein,7,413,1.69%,8.13
https://www.bastelschachtel.at/products/metall-schubladenknauf-rund-5-stuck-6663,7,350,2%,11.91
https://www.bastelschachtel.at/products/glanzlack-50ml-auf-losungsmittelbasis-573,7,255,2.75%,5.78
https://www.bastelschachtel.at/products/antikpaste-metallic-20ml-silber-3932,7,254,2.76%,7.77
https://www.bastelschachtel.at/products/giessform-amphore-2-teilig,7,237,2.95%,5.61
https://www.bastelschachtel.at/products/steinpaste-100ml-lehm-5345,7,235,2.98%,10.72
https://www.bastelschachtel.at/products/pentart-krakelierpaste-primer-100ml-weiss,7,133,5.26%,7.07
https://www.bastelschachtel.at/products/silikonform-herzen-mit-muster-4930,7,132,5.3%,6.35
https://www.bastelschachtel.at/products/pentart-kerzenkleber-100ml?variant=43461979767000&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,7,17,41.18%,4.24
https://www.bastelschachtel.at/products/mobile-aus-holz?variant=51793358455122&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,7,15,46.67%,9.27
https://www.bastelschachtel.at/collections/liquid-watercolor-572,6,2999,0.2%,7.77
https://www.bastelschachtel.at/products/holz-taschentuchbox-3740,6,1520,0.39%,8.56
https://www.bastelschachtel.at/products/professional-artist-s-acrylic-paint-12-x-20ml,6,1001,0.6%,9.97
https://www.bastelschachtel.at/products/pentart-uv-kleber-20ml,6,987,0.61%,8.84
https://www.bastelschachtel.at/products/heiklebestift-100x74mm-7864,6,945,0.63%,8.27
https://www.bastelschachtel.at/products/flussiges-metall-50ml-antikgold-4893,6,941,0.64%,10.98
https://www.bastelschachtel.at/products/holz-streifen-seil-dunn-0-8x100cm,6,881,0.68%,8.86
https://www.bastelschachtel.at/products/silikonform-bltter-7732,6,810,0.74%,8.85
https://www.bastelschachtel.at/products/fugenpulver-110g-schwarz-7359,6,801,0.75%,11.96
https://www.bastelschachtel.at/products/bastelwellpappe-50x70cm-uni-1667,6,760,0.79%,6.46
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-grun-5729,6,700,0.86%,10.17
https://www.bastelschachtel.at/collections/lasuren-109,6,695,0.86%,13.87
https://www.bastelschachtel.at/products/styropor-eier-7cm-10-stuck-6659,6,646,0.93%,8.77
https://www.bastelschachtel.at/blogs/uebersicht/glasrecycling-mit-glasfarbe-126,6,635,0.94%,12.49
https://www.bastelschachtel.at/products/pentart-wachspaste-metallic-20ml-kupfer-3813,6,606,0.99%,7.45
https://www.bastelschachtel.at/products/silikonform-fur-resin,6,554,1.08%,10.12
https://www.bastelschachtel.at/products/silikonform-antique-ornament,6,505,1.19%,8.82
https://www.bastelschachtel.at/products/kupferdraht-04mm20m-1506,6,495,1.21%,8.48
https://www.bastelschachtel.at/products/uv-led-taschenlampe,6,494,1.21%,15.22
https://www.bastelschachtel.at/products/acryl-kugel-mit-trennwand-10cm,6,382,1.57%,16.97
https://www.bastelschachtel.at/products/holzbank-geplottert-mit-schriftzug-und-karte,6,377,1.59%,10.06
https://www.bastelschachtel.at/products/silikonform-fur-resin-gemischt,6,369,1.63%,12.56
https://www.bastelschachtel.at/products/pentart-rosteffekt-set-pulver-180g-reagenten-4340,6,305,1.97%,8.07
https://www.bastelschachtel.at/products/lasurgel-fur-innenbereich-100ml-677,6,275,2.18%,8.36
https://www.bastelschachtel.at/products/leichte-modellierpaste-150ml-6158,6,274,2.19%,7.16
https://www.bastelschachtel.at/products/serviettenkleber-230ml-seidenglnzend-597,6,257,2.33%,10.03
https://www.bastelschachtel.at/products/pentart-3d-pulver-100ml-mittel-6906,6,209,2.87%,27.64
https://www.bastelschachtel.at/products/unterlage-323,6,182,3.3%,6.27
https://www.bastelschachtel.at/products/pentart-super-glasharz-2x250ml,6,178,3.37%,5.13
https://www.bastelschachtel.at/products/reispapier-a4-vintage-blatter,6,163,3.68%,9.13
https://www.bastelschachtel.at/products/silikonform-kerzen-giessen-5er-set-zylinder,6,162,3.7%,9.01
https://www.bastelschachtel.at/products/schneepaste-100ml-6513,6,144,4.17%,8.23
https://www.bastelschachtel.at/products/acryl-herz-mit-trennwand-16cm-6924,6,135,4.44%,8.1
https://www.bastelschachtel.at/products/dekor-paint-soft-matt-100ml-mandel-5155,6,130,4.62%,7.01
https://www.bastelschachtel.at/products/gelpaste-50ml-transparent-5293,6,77,7.79%,8.82
https://www.bastelschachtel.at/products/eisenpaste-100ml-rotbraun-5406,6,74,8.11%,5.62
https://www.bastelschachtel.at/products/glanzlack-100ml-auf-wasserbasis-4804,6,55,10.91%,8.75
https://www.bastelschachtel.at/products/antikpaste-20ml-umbra-5826?variant=39737085690013&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,41,14.63%,4.73
https://www.bastelschachtel.at/products/dekor-paint-chalky-matt-100ml-tannengrun,6,21,28.57%,4
https://www.bastelschachtel.at/products/goldpapier?variant=51043631628626&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,20,30%,4.3
https://www.bastelschachtel.at/products/collectables-box-big?variant=51953477615954&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,19,31.58%,8.68
https://www.bastelschachtel.at/products/silikonform-hasen?variant=50771731054930&country=CH&currency=CHF&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,12,50%,3.17
https://www.bastelschachtel.at/products/motiv-transparentpapier-a4-letters-7637?variant=39738391363741&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,10,60%,7
https://www.bastelschachtel.at/collections/acrylprodukte,5,2177,0.23%,8.33
https://www.bastelschachtel.at/products/zeichenblock-durer-hase-a3,5,1986,0.25%,8.17
https://www.bastelschachtel.at/products/handgemachte-glucksbringer-schwein-ein-symbol-fur-gluck-und-positive-energie,5,1739,0.29%,9.64
https://www.bastelschachtel.at/products/serviettenkleber-230ml-seidenmatt-4327,5,1574,0.32%,6.42
https://www.bastelschachtel.at/blogs/uebersicht/gutscheine-richtig-verpacken-39,5,1361,0.37%,23.41
https://www.bastelschachtel.at/products/holz-schlusselkasten-klein-665,5,1101,0.45%,8.46
https://www.bastelschachtel.at/products/styropor-kegel-2-stk-7x12-5-cm,5,822,0.61%,8.26
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-grau-5738,5,793,0.63%,7.59
https://www.bastelschachtel.at/products/eisenpaste-50ml-rotbraun-5296,5,763,0.66%,10.17
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-hellbraun-5735,5,734,0.68%,9.27
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-giftgrun-5733,5,698,0.72%,9.27
https://www.bastelschachtel.at/products/pentart-textilfarben-spray-50ml-grun-5049,5,655,0.76%,8.55
https://www.bastelschachtel.at/products/mosaik-und-steinkleber-20ml-8031,5,652,0.77%,16.98
https://www.bastelschachtel.at/products/servietten-set-mit-decoupage-kleber-vintage-blumen,5,583,0.86%,8.59
https://www.bastelschachtel.at/products/naturpapierblock-durer-hase-a3,5,579,0.86%,12.56
https://www.bastelschachtel.at/products/servietten-set-mit-decoupage-kleber-vintage-weihnachten,5,554,0.9%,10.74
https://www.bastelschachtel.at/products/reispapier-a4-old-photos-6554,5,442,1.13%,6.46
https://www.bastelschachtel.at/products/eisenpaste-50ml-rotbraun-5298,5,430,1.16%,5.96
https://www.bastelschachtel.at/products/wattekugeln-30mm-1526,5,429,1.17%,8.36
https://www.bastelschachtel.at/blogs/uebersicht/aludosen-recycelt-im-vintage-stil-148,5,405,1.23%,9.61
https://www.bastelschachtel.at/products/textil-und-lederfarbe-50ml-wei-5710,5,392,1.28%,9.69
https://www.bastelschachtel.at/products/gans,5,378,1.32%,9.14
https://www.bastelschachtel.at/products/expresskleber-80ml-4600,5,371,1.35%,7.33
https://www.bastelschachtel.at/products/acrylfarbe-perlmutt-50ml-673,5,348,1.44%,7.46
https://www.bastelschachtel.at/products/silikonform-medaillons-with-portrait,5,346,1.45%,17.04
https://www.bastelschachtel.at/products/pentart-textilfarben-spray-50ml-olive-5048,5,329,1.52%,10.26
https://www.bastelschachtel.at/products/korbboden-set-gemischt-gro-4679,5,317,1.58%,10.15
https://www.bastelschachtel.at/products/schablone-selbstklebend-148x21cm-ostereier-7917,5,294,1.7%,6.07
https://www.bastelschachtel.at/products/silikonform-ballerina,5,265,1.89%,6.72
https://www.bastelschachtel.at/products/reispapier-a4-rosen-von-paris,5,251,1.99%,6.5
https://www.bastelschachtel.at/products/mdf-holzplatte-oval-12x16cm,5,239,2.09%,10.15
https://www.bastelschachtel.at/products/pentart-metall-pigment-8g-silber,5,225,2.22%,8.12
https://www.bastelschachtel.at/products/blumenstecker-diy-diamond-painting,5,217,2.3%,7.04
https://www.bastelschachtel.at/blogs/uebersicht/scrapbookalbum-selbstgemacht-119,5,210,2.38%,23.8
https://www.bastelschachtel.at/products/pentart-patinaeffekt-set-pulver-reagenten-5295,5,185,2.7%,6.55
https://www.bastelschachtel.at/collections/farbsets-fur-rost-und-patinaeffekt,5,175,2.86%,11.25
https://www.bastelschachtel.at/products/glaze-paste-100ml-perlmutt-weiss,5,163,3.07%,6.13
https://www.bastelschachtel.at/collections/borduren-rnder-185,5,160,3.12%,10.65
https://www.bastelschachtel.at/products/rost-effekt-reagenten-set-3800,5,145,3.45%,5.5
https://www.bastelschachtel.at/products/filzbander-0-5cm-x-10m,5,137,3.65%,9.38
https://www.bastelschachtel.at/blogs/uebersicht/relaxbild-mit-steinpaste-98,5,134,3.73%,7.11
https://www.bastelschachtel.at/products/reispapier-a3-schrift-mit-muster,5,132,3.79%,7.52
https://www.bastelschachtel.at/products/servietten-set-mit-decoupage-kleber-gemutlichkeit,5,130,3.85%,18.78
https://www.bastelschachtel.at/products/zylinderhut-kaminkehrer-glucksbringer-10er-set,5,125,4%,7.58
https://www.bastelschachtel.at/products/krepppapier-packpapier-dekoratives-floristenpapier,5,121,4.13%,7.03
https://www.bastelschachtel.at/products/giesspulver-140ml-4168,5,111,4.5%,7.17
https://www.bastelschachtel.at/products/pentart-eco-glitter-15g-silber-extra-fine,5,100,5%,6.68
https://www.bastelschachtel.at/products/hakelboden-eckig,5,77,6.49%,6.84
https://www.bastelschachtel.at/products/chenilledraht-biegeplusch-pink-1536,5,73,6.85%,7.78
https://www.bastelschachtel.at/products/zweiphasen-feinriss-krakelierlack-set-2x50ml-4944?variant=39736430264477&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,70,7.14%,4.83
https://www.bastelschachtel.at/collections/glasatzpaste-gravuren,5,63,7.94%,6.52
https://www.bastelschachtel.at/products/glitterpaste-fine-50ml-irisierend-4197,5,46,10.87%,6.04
https://www.bastelschachtel.at/products/motivkarton-a4-streets,5,44,11.36%,10.8
https://www.bastelschachtel.at/products/pentart-wachspaste-metallic-20ml?variant=51888220864850&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,28,17.86%,3.93
https://www.bastelschachtel.at/products/spiegelfarbe-auf-glas-3819?variant=39736010080413&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,28,17.86%,4.36
https://www.bastelschachtel.at/products/grundierfarbe-100ml-6840?variant=39737744883869&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,26,19.23%,5.08
https://www.bastelschachtel.at/products/acrylfarbe-perlmutt-50ml-wei-6901?variant=39737767657629&country=DE&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,20,25%,3.35
https://www.bastelschachtel.at/products/pentart-glasatzungspaste-50ml?variant=51441650139474&country=CH&currency=CHF&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,19,26.32%,3.05
