Date,Clicks,Impressions,CTR,Position
2025-12-26,48,2242,2.14%,10.3
2025-12-27,38,2257,1.68%,9.9
2025-12-28,45,2533,1.78%,10.3
2025-12-29,51,2604,1.96%,10.3
2025-12-30,54,2809,1.92%,10.1
2025-12-31,23,2309,1%,9.2
2026-01-01,21,2341,0.9%,10.3
2026-01-02,56,2742,2.04%,11.5
2026-01-03,74,2549,2.9%,10.8
2026-01-04,57,2935,1.94%,12.2
2026-01-05,57,2934,1.94%,12.5
2026-01-06,40,3012,1.33%,10.1
2026-01-07,59,3424,1.72%,12.9
2026-01-08,54,3232,1.67%,11.7
2026-01-09,59,2951,2%,11.9
2026-01-10,43,3148,1.37%,12.6
2026-01-11,49,2762,1.77%,9.9
2026-01-12,61,3083,1.98%,11
2026-01-13,67,3390,1.98%,11.6
2026-01-14,61,3334,1.83%,13.5
2026-01-15,50,2856,1.75%,9.7
2026-01-16,54,2587,2.09%,9.6
2026-01-17,64,2674,2.39%,11.4
2026-01-18,63,2754,2.29%,9.6
2026-01-19,59,3047,1.94%,10.4
2026-01-20,57,2930,1.95%,10.2
2026-01-21,46,2730,1.68%,9.7
2026-01-22,47,2615,1.8%,10.3
2026-01-23,49,2359,2.08%,9.9
2026-01-24,41,2466,1.66%,10.2
2026-01-25,50,2632,1.9%,11
2026-01-26,84,2891,2.91%,10.3
2026-01-27,56,2861,1.96%,10
2026-01-28,74,2539,2.91%,9.3
2026-01-29,65,2531,2.57%,9.8
2026-01-30,44,2263,1.94%,9.9
2026-01-31,46,2241,2.05%,9.6
2026-02-01,65,2551,2.55%,9.9
2026-02-02,60,2737,2.19%,10.8
2026-02-03,52,2551,2.04%,8.6
2026-02-04,49,2447,2%,8.7
2026-02-05,56,2487,2.25%,9.5
2026-02-06,49,2525,1.94%,10.3
2026-02-07,46,2331,1.97%,9.5
2026-02-08,48,2486,1.93%,9.7
2026-02-09,55,2744,2%,9.5
2026-02-10,64,3057,2.09%,9.8
2026-02-11,59,3130,1.88%,10.2
2026-02-12,48,2948,1.63%,10.5
2026-02-13,40,2560,1.56%,9
2026-02-14,36,2608,1.38%,8.6
2026-02-15,57,2821,2.02%,8.8
2026-02-16,63,3278,1.92%,9.5
2026-02-17,37,2838,1.3%,9.2
2026-02-18,52,3328,1.56%,9.5
2026-02-19,43,3094,1.39%,9.6
2026-02-20,61,2881,2.12%,9.1
2026-02-21,51,3032,1.68%,9.5
2026-02-22,63,3122,2.02%,8.6
2026-02-23,43,3437,1.25%,9.5
2026-02-24,73,3530,2.07%,10.1
2026-02-25,58,2964,1.96%,9.3
2026-02-26,43,2844,1.51%,9.1
2026-02-27,33,2887,1.14%,9.5
2026-02-28,39,2520,1.55%,8.8
2026-03-01,60,2997,2%,9.7
2026-03-02,52,3368,1.54%,11.2
2026-03-03,45,3258,1.38%,9.1
2026-03-04,42,2856,1.47%,8.8
2026-03-05,45,2692,1.67%,8.8
2026-03-06,36,2666,1.35%,8.9
2026-03-07,42,2515,1.67%,9.1
2026-03-08,37,2495,1.48%,8.3
2026-03-09,58,2992,1.94%,9.2
2026-03-10,49,3011,1.63%,8.4
2026-03-11,54,2767,1.95%,8.3
2026-03-12,49,3489,1.4%,8.3
2026-03-13,51,2939,1.74%,8.6
2026-03-14,52,2690,1.93%,8.4
2026-03-15,53,3120,1.7%,8.6
2026-03-16,53,3763,1.41%,9.2
2026-03-17,65,3511,1.85%,8.9
2026-03-18,32,2945,1.09%,8.7
2026-03-19,54,2716,1.99%,8.7
2026-03-20,51,2514,2.03%,8.8
2026-03-21,43,2495,1.72%,8.2
2026-03-22,49,2796,1.75%,8.5
2026-03-23,41,2995,1.37%,8.9
2026-03-24,50,2970,1.68%,8.3
2026-03-25,58,2661,2.18%,8.3
2026-03-26,42,2697,1.56%,8.5
2026-03-27,34,2570,1.32%,8.9
2026-03-28,41,2435,1.68%,9
2026-03-29,49,2750,1.78%,9.4
2026-03-30,61,2738,2.23%,9.8
2026-03-31,49,2739,1.79%,9.1
2026-04-01,46,2362,1.95%,9
2026-04-02,36,2391,1.51%,8.7
2026-04-03,36,2302,1.56%,9.5
2026-04-04,38,1856,2.05%,8.8
2026-04-05,40,1692,2.36%,8.5
2026-04-06,32,2001,1.6%,8.8
2026-04-07,36,2332,1.54%,9.4
2026-04-08,32,2060,1.55%,8.7
2026-04-09,48,2069,2.32%,9
2026-04-10,44,2110,2.09%,8.6
2026-04-11,40,1827,2.19%,8.6
